"filename", "language", "JavaScript", "JSON", "TypeScript", "Vue", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\projects\sync_client\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\projects\sync_client\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"c:\projects\sync_client\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\projects\sync_client\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\projects\sync_client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 1, 1, 20
"c:\projects\sync_client\src\App.vue", "Vue", 0, 0, 0, 56, 0, 0, 0, 0, 6, 62
"c:\projects\sync_client\src\Vue\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\projects\sync_client\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\projects\sync_client\src\main.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\projects\sync_client\src\plugins\vuetify.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\projects\sync_client\src\router\index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\projects\sync_client\src\shims-tsx.d.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 2, 14
"c:\projects\sync_client\src\shims-vue.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\projects\sync_client\src\shims-vuetify.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\projects\sync_client\src\store\Controller.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 3, 2, 33
"c:\projects\sync_client\src\store\index.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\projects\sync_client\src\views\Home.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"c:\projects\sync_client\tsconfig.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 10, 1, 41
"c:\projects\sync_client\vue.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"Total", "-", 38, 79, 107, 69, 19, 1, 18, 17, 49, 397
